ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-01,208.37688112306546,201.45064732780259,215.30311491832833,arima,AMZN
2026-04-02,208.19436502999838,198.4061109079035,217.98261915209326,arima,AMZN
2026-04-03,208.01092573527885,196.09336764464757,219.92848382591012,arima,AMZN
2026-04-06,208.02279349844233,194.33493934893025,221.7106476479544,arima,AMZN
2026-04-07,208.12516880934308,192.87513079246835,223.3752068262178,arima,AMZN
2026-04-08,208.12829599543326,191.42342740391513,224.8331645869514,arima,AMZN
2026-04-09,208.12429742917732,190.08125717512485,226.1673376832298,arima,AMZN
