ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-10,294.64954476401647,282.0478587483425,306.5335610775724,prophet,GOOGL
2026-04-13,295.93068807182465,284.30995508906364,308.1048114580387,prophet,GOOGL
2026-04-14,296.12373134770183,283.5983985766437,307.35365211503955,prophet,GOOGL
2026-04-15,296.78571085560003,284.7871011883759,308.65163206962205,prophet,GOOGL
2026-04-16,296.3547682815346,284.1119007772827,309.09997891948865,prophet,GOOGL
2026-04-17,296.85843123477036,285.0665993786426,308.75892672662553,prophet,GOOGL
2026-04-20,298.6575586946948,285.89151977137885,312.1862278327723,prophet,GOOGL
