feature,importance
volume,178
return_1d,176
low,153
high,148
bb_position,129
volume_change,111
rsi_14,106
rolling_std_20,102
macd_hist,96
hl_range,95
close_lag_3,84
return_5d,84
bb_width,80
rolling_std_10,78
rolling_std_5,75
macd_signal,73
close_lag_1,72
close_lag_10,72
macd,70
open,67
close_lag_5,66
close_lag_2,63
rolling_mean_5,55
rolling_mean_20,53
zscore,45
rolling_mean_10,37
is_anomaly,2
sentiment_compound,0
sentiment_3d,0
sentiment_change,0
pos_count,0
neg_count,0
article_count,0
