ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-10,413.258551312468,344.96424815385,487.32413444078514,prophet,TSLA
2026-04-13,414.49659659423486,341.98583657939724,487.97492167244815,prophet,TSLA
2026-04-14,412.69941944958725,347.7119151919992,486.3458202419877,prophet,TSLA
2026-04-15,412.70421668281926,339.09930419370613,481.26385594409754,prophet,TSLA
2026-04-16,410.4783979323762,339.27984924706874,478.9145596550173,prophet,TSLA
2026-04-17,411.662842144429,346.0397563684093,481.04630877877213,prophet,TSLA
2026-04-20,412.8595336279428,343.7809065219543,486.09672590819633,prophet,TSLA
