ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-10,182.17568405930342,176.90608636821878,187.44528175038806,arima,NVDA
2026-04-13,181.3830520662503,174.22106339220852,188.54504074029205,arima,NVDA
2026-04-14,181.09035782903146,172.21305105850362,189.9676645995593,arima,NVDA
2026-04-15,180.91053212876224,170.8486081466962,190.9724561108283,arima,NVDA
2026-04-16,180.98637512783256,169.98269414959515,191.99005610606997,arima,NVDA
2026-04-17,181.04135059160825,169.23698524759436,192.84571593562214,arima,NVDA
2026-04-20,181.10378059995494,168.54201625121777,193.66554494869212,arima,NVDA
