ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-01,288.2276504212601,282.2267601100213,294.22854073249886,arima,GOOGL
2026-04-02,288.78611616913946,280.2685081704573,297.3037241678216,arima,GOOGL
2026-04-03,288.35166565573144,277.81463649894636,298.8886948125165,arima,GOOGL
2026-04-06,287.7973278774042,275.66014828677197,299.93450746803643,arima,GOOGL
2026-04-07,287.87137017920656,274.4215079107374,301.32123244767575,arima,GOOGL
2026-04-08,287.8553937267385,273.192784626749,302.518002826728,arima,GOOGL
2026-04-09,287.8959014978854,272.1156378312672,303.67616516450363,arima,GOOGL
