ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-10,258.39997279321386,252.2024792458373,264.5974663405904,arima,AAPL
2026-04-13,258.147032805208,249.20982537961703,267.084240230799,arima,AAPL
2026-04-14,258.0883387362599,246.99670482964646,269.17997264287334,arima,AAPL
2026-04-15,257.9402556845567,245.18960797084668,270.6909033982667,arima,AAPL
2026-04-16,257.92476399633415,243.76820497078086,272.08132302188744,arima,AAPL
2026-04-17,257.9223919606709,242.5334063064285,273.3113776149133,arima,AAPL
2026-04-20,257.93390700892854,241.40425573366764,274.46355828418945,arima,AAPL
