feature,importance
low,174
return_1d,163
volume_change,135
high,123
hl_range,118
rolling_mean_20,113
macd_signal,109
macd_hist,107
return_5d,102
rolling_std_20,100
bb_position,93
rsi_14,90
open,89
close_lag_10,87
volume,82
rolling_std_10,80
close_lag_1,73
bb_width,64
close_lag_3,59
rolling_std_5,58
rolling_mean_5,58
close_lag_5,58
macd,57
rolling_mean_10,43
close_lag_2,41
is_anomaly,5
zscore,3
sentiment_compound,0
sentiment_3d,0
sentiment_change,0
pos_count,0
neg_count,0
article_count,0
