feature,importance
macd_hist,188
return_1d,167
high,158
volume_change,153
low,147
rolling_std_20,142
macd_signal,132
hl_range,113
return_5d,99
volume,96
bb_width,95
bb_position,86
rolling_std_10,83
rolling_mean_10,78
close_lag_5,75
rolling_std_5,72
open,65
rolling_mean_20,63
close_lag_1,60
rolling_mean_5,57
macd,56
rsi_14,52
close_lag_10,51
close_lag_3,51
close_lag_2,37
zscore,6
is_anomaly,0
sentiment_compound,0
sentiment_3d,0
sentiment_change,0
pos_count,0
neg_count,0
article_count,0
