feature,importance
return_1d,356
low,259
high,252
return_5d,140
hl_range,136
volume,133
rolling_std_20,132
volume_change,130
rolling_std_10,114
rolling_std_5,91
macd,81
macd_hist,80
macd_signal,80
close_lag_5,74
close_lag_10,69
close_lag_1,66
open,64
rolling_mean_20,60
bb_position,59
close_lag_2,58
rolling_mean_10,58
rsi_14,51
close_lag_3,51
rolling_mean_5,48
bb_width,46
zscore,15
is_anomaly,0
sentiment_compound,0
sentiment_3d,0
sentiment_change,0
pos_count,0
neg_count,0
article_count,0
