feature,importance
low,150
return_1d,148
macd_hist,126
high,121
rsi_14,119
rolling_std_10,111
macd_signal,105
rolling_std_5,100
volume_change,92
hl_range,92
volume,90
close_lag_2,89
bb_position,89
rolling_std_20,86
close_lag_3,81
return_5d,79
close_lag_10,76
open,66
rolling_mean_10,61
close_lag_5,60
macd,57
bb_width,53
rolling_mean_5,45
close_lag_1,39
rolling_mean_20,33
zscore,6
is_anomaly,1
sentiment_compound,0
sentiment_3d,0
sentiment_change,0
pos_count,0
neg_count,0
article_count,0
