ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-10,285.24506233529473,271.6921985634522,298.54639538476926,prophet,JPM
2026-04-13,283.70809983263024,270.89604514910167,296.141952343027,prophet,JPM
2026-04-14,283.2646596282515,269.55190038144747,296.87067249338844,prophet,JPM
2026-04-15,284.0819977503254,270.90535124175204,297.3594343979444,prophet,JPM
2026-04-16,283.2322443674954,269.0892168809884,297.70078428194716,prophet,JPM
2026-04-17,283.0333139303195,269.60365787198475,295.21992682070896,prophet,JPM
2026-04-20,283.4638086273212,270.0973410923617,297.08197923372654,prophet,JPM
