feature,importance
return_1d,243
low,214
high,194
rolling_std_5,153
volume_change,150
rolling_std_10,148
rolling_mean_20,121
macd_hist,118
macd_signal,110
close_lag_5,109
return_5d,109
hl_range,107
close_lag_10,96
open,92
close_lag_1,92
bb_width,91
rolling_mean_5,87
close_lag_3,82
bb_position,75
rolling_std_20,67
close_lag_2,56
rolling_mean_10,56
rsi_14,53
macd,48
volume,35
zscore,10
is_anomaly,9
sentiment_compound,0
sentiment_3d,0
sentiment_change,0
pos_count,0
neg_count,0
article_count,0
