ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-10,220.70248685083823,198.50546579912842,241.94789130259497,prophet,AMZN
2026-04-13,220.58365045019264,199.0386778546783,241.71911124219434,prophet,AMZN
2026-04-14,220.17362555201345,197.58888429577502,241.55174109571306,prophet,AMZN
2026-04-15,220.0966626518901,198.97128950836603,239.9449860830295,prophet,AMZN
2026-04-16,219.78175601542176,197.9196939031798,239.9275464096191,prophet,AMZN
2026-04-17,219.6974843413954,198.7946409582647,240.3814832445124,prophet,AMZN
2026-04-20,219.5461140039986,199.98419776824935,242.15722032195617,prophet,AMZN
