ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-10,629.319006070375,602.5727294026849,656.0652827380652,arima,META
2026-04-13,628.1710646533154,590.9274594487911,665.4146698578397,arima,META
2026-04-14,625.5866900703292,579.4411103564095,671.7322697842488,arima,META
2026-04-15,627.6971456445133,574.7444106237912,680.6498806652354,arima,META
2026-04-16,628.8005333917523,570.41366141256,687.1874053709446,arima,META
2026-04-17,629.1247278384105,564.9073288512409,693.3421268255802,arima,META
2026-04-20,629.1277269077771,559.6507120551889,698.6047417603652,arima,META
