feature,importance
return_1d,161
return_5d,146
high,144
hl_range,133
macd_signal,128
low,126
rolling_std_5,125
macd_hist,118
volume_change,114
rolling_std_10,107
volume,101
bb_position,90
close_lag_3,89
rsi_14,84
close_lag_5,80
close_lag_10,79
rolling_std_20,71
macd,70
rolling_mean_5,69
bb_width,66
rolling_mean_20,57
close_lag_1,55
rolling_mean_10,48
close_lag_2,47
open,23
zscore,4
is_anomaly,3
sentiment_compound,0
sentiment_3d,0
sentiment_change,0
pos_count,0
neg_count,0
article_count,0
