ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-01,370.24440836788074,359.36772292708224,381.12109380867923,arima,MSFT
2026-04-02,369.68732032321634,354.36460494566904,385.01003570076364,arima,MSFT
2026-04-03,369.1027318916822,350.6092001801443,387.5962636032201,arima,MSFT
2026-04-06,369.06951081513995,348.0101559829283,390.1288656473516,arima,MSFT
2026-04-07,369.4309355145176,346.1272663580663,392.7346046709689,arima,MSFT
2026-04-08,369.45313283330853,343.9678913092517,394.9383743573654,arima,MSFT
2026-04-09,369.4295198486821,341.9311351900369,396.9279045073273,arima,MSFT
