ds,predicted_close,lower_bound,upper_bound,model,ticker
2026-04-10,345.5966941363809,325.56932480132537,365.62406347143644,arima,TSLA
2026-04-13,345.2621344408406,317.37190215962306,373.15236672205816,arima,TSLA
2026-04-14,344.9917273341243,310.9022388051717,379.08121586307686,arima,TSLA
2026-04-15,345.27920553740734,306.20093216657887,384.3574789082358,arima,TSLA
2026-04-16,345.024950901117,301.55671294888145,388.49318885335254,arima,TSLA
2026-04-17,345.0626656492603,297.4115060441638,392.7138252543568,arima,TSLA
2026-04-20,345.04552803260106,293.55754876917507,396.53350729602704,arima,TSLA
