feature,importance
return_1d,292
high,259
low,251
return_5d,181
volume,179
hl_range,167
volume_change,156
rolling_std_5,124
rolling_std_10,118
close_lag_10,108
macd_hist,90
close_lag_5,89
macd_signal,77
close_lag_1,74
open,72
rolling_std_20,66
close_lag_2,65
rolling_mean_5,63
close_lag_3,59
rsi_14,59
bb_position,52
bb_width,51
rolling_mean_10,49
macd,47
rolling_mean_20,36
zscore,13
is_anomaly,0
sentiment_compound,0
sentiment_3d,0
sentiment_change,0
pos_count,0
neg_count,0
article_count,0
